서비스업체,순위,제목,장소
Interpark,1,태양의서커스〈뉴 알레그리아〉,잠실종합운동장 내 빅탑
Interpark,2,뮤지컬 〈킹키부츠〉,충무아트센터 대극장
Interpark,3,뮤지컬 〈엘리자벳〉 10주년 기념공연,블루스퀘어 신한카드홀
Interpark,4,뮤지컬 〈아이다〉,블루스퀘어 신한카드홀
Interpark,5,뮤지컬 〈마틸다〉,대성 디큐브아트센터
Interpark,6,뮤지컬 〈웃는 남자〉,세종문화회관 대극장
Interpark,7,뮤지컬 〈물랑루즈!〉 아시아 초연 (Moulin Rouge! The Musical),블루스퀘어 신한카드홀
Interpark,8,뮤지컬 데스노트 (The Musical Death Note),충무아트센터 대극장
Interpark,9,뮤지컬 데스노트 (The Musical Death Note),예술의전당 오페라극장
Interpark,10,뮤지컬 지킬앤하이드 (Jekyll＆Hyde),샤롯데씨어터
Interpark,11,뮤지컬 〈사의찬미〉,대학로 TOM(티오엠) 1관
Interpark,12,뮤지컬 〈미세스 다웃파이어〉,샤롯데씨어터
Interpark,13,뮤지컬 라이온 킹 인터내셔널 투어 - 서울 (Musical The Lion King),예술의전당 오페라극장
Interpark,14,뮤지컬 〈여신님이 보고 계셔〉 10th Anniversary,대학로 유니플렉스 1관
Interpark,15,뮤지컬 〈마타하리〉,샤롯데씨어터
Interpark,16,뮤지컬 〈브로드웨이 42번가〉,예술의전당 CJ 토월극장
Interpark,17,뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,광림아트센터 BBCH홀
Interpark,18,뮤지컬 〈빨래〉,대학로 유니플렉스 2관
Interpark,19,뮤지컬 〈베토벤; Beethoven Secret〉,예술의전당 오페라극장
Interpark,20,뮤지컬 ＇영웅＇,LG아트센터 서울 LG SIGNATURE 홀
Interpark,21,뮤지컬 〈웨스트 사이드 스토리〉,충무아트센터 대극장
Interpark,22,뮤지컬 〈프랑켄슈타인〉,블루스퀘어 신한카드홀
Interpark,23,뮤지컬 〈서편제〉,광림아트센터 BBCH홀
Interpark,24,베어 더 뮤지컬(bare the musical),두산아트센터 연강홀
Interpark,25,뮤지컬 〈스위니토드〉,샤롯데씨어터
Interpark,26,뮤지컬 〈웨스턴 스토리〉,대학로 유니플렉스 1관
Interpark,27,뮤지컬 〈팬레터〉,coex 신한카드 artium
Interpark,28,뮤지컬 〈배니싱〉,대학로 아트원씨어터 1관
Interpark,29,뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,세종문화회관 대극장
Interpark,30,뮤지컬 〈미오 프라텔로〉,드림아트센터 1관
Interpark,31,뮤지컬 〈빌리 엘리어트〉,대성 디큐브아트센터
Interpark,32,뮤지컬 〈니진스키〉,대학로 아트원씨어터 1관
Interpark,33,뮤지컬 〈빨래〉,대학로 유니플렉스 2관
Interpark,34,뮤지컬 〈사랑의 불시착〉,coex 신한카드 artium
Interpark,35,육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,대성 디큐브아트센터
Interpark,36,뮤지컬 〈브론테〉,대학로 자유극장
Interpark,37,블루맨그룹 월드투어,coex 신한카드 artium
Interpark,38,뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),부산 드림씨어터
Interpark,39,뮤지컬 〈리지〉,두산아트센터 연강홀
Interpark,40,뮤지컬 〈랭보〉,대학로 TOM(티오엠) 1관
Interpark,41,뮤지컬 〈레베카〉,충무아트센터 대극장
Interpark,42,뮤지컬 〈디아길레프〉,대학로 아트원씨어터 1관
Interpark,43,뮤지컬〈하데스타운〉 최초 한국 공연 (MUSICAL HADESTOWN),LG아트센터
Interpark,44,뮤지컬 〈곤 투모로우〉,홍익대 대학로 아트센터 대극장
Interpark,45,뮤지컬 〈V 에버 애프터〉,드림아트센터 1관
Interpark,46,뮤지컬 〈미아 파밀리아〉,예스24스테이지 2관
Interpark,47,뮤지컬 킹아더 (Musical King Arthur),홍익대 대학로 아트센터 대극장
Interpark,48,뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,블루스퀘어 신한카드홀
Interpark,49,와일드 와일드 〈드림〉,와일드 와일드 전용관 (명보아트홀)
Interpark,50,뮤지컬 〈이프덴〉,홍익대 대학로 아트센터 대극장
